Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Average Accuracy,Average Train Time,Average Test Time
GesturePebbleZ2_eq,0.886075949,0.943037975,0.96835443,0.987341772,0.981012658,0.930379747,0.943037975,0.949367089,0.917721519,0.936708861,0.930379747,0.962025316,0.981012658,0.974683544,0.955696203,0.943037975,0.962025316,0.917721519,0.949367089,0.987341772,0.962025316,0.974683544,0.974683544,0.981012658,0.943037975,0.949367089,0.949367089,0.974683544,0.955696203,0.96835443,0.95464135,4.106203461,1.351411223
GunPoint,1,1,1,0.993333333,1,0.986666667,0.986666667,1,1,1,0.993333333,1,0.973333333,1,1,0.98,0.986666667,0.993333333,1,0.946666667,1,1,1,0.986666667,0.993333333,1,1,0.946666667,0.993333333,0.993333333,0.991777778,1.05226992,0.368679961
GunPointAgeSpan,1,0.974683544,0.996835443,0.993670886,0.990506329,0.977848101,0.993670886,0.996835443,0.996835443,1,1,0.993670886,0.990506329,0.993670886,0.996835443,0.984177215,0.996835443,0.987341772,1,0.993670886,0.990506329,0.974683544,0.996835443,0.987341772,0.984177215,1,1,1,1,0.996835443,0.992932489,2.015590843,0.802569715
GunPointMaleVersusFemale,1,0.996835443,1,1,1,0.996835443,1,1,1,1,1,0.996835443,1,1,1,0.996835443,0.996835443,1,1,1,0.996835443,0.996835443,1,0.996835443,1,1,1,1,1,1,0.999156118,1.537834167,0.675283845
GunPointOldVersusYoung,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.300489942,0.65886867
Ham,0.742857143,0.80952381,0.8,0.838095238,0.8,0.904761905,0.838095238,0.828571429,0.866666667,0.885714286,0.847619048,0.80952381,0.885714286,0.857142857,0.828571429,0.819047619,0.838095238,0.866666667,0.866666667,0.819047619,0.838095238,0.857142857,0.828571429,0.876190476,0.857142857,0.876190476,0.847619048,0.828571429,0.847619048,0.780952381,0.83968254,2.930345138,0.770529103
HandOutlines,0.927027027,0.932432432,0.943243243,0.945945946,0.927027027,0.951351351,0.940540541,0.956756757,0.940540541,0.954054054,0.918918919,0.92972973,0.935135135,0.940540541,0.916216216,0.932432432,0.945945946,0.92972973,0.921621622,0.937837838,0.940540541,0.940540541,0.924324324,0.935135135,0.937837838,0.945945946,0.92972973,0.913513514,0.932432432,0.945945946,0.935765766,73.65036389,15.22488516
Haptics,0.542207792,0.532467532,0.545454545,0.542207792,0.519480519,0.519480519,0.487012987,0.532467532,0.564935065,0.50974026,0.525974026,0.535714286,0.535714286,0.5,0.564935065,0.564935065,0.545454545,0.535714286,0.5,0.555194805,0.519480519,0.506493506,0.506493506,0.5,0.542207792,0.516233766,0.525974026,0.542207792,0.5,0.5,0.527272727,6.648529331,4.62903982
Herring,0.6875,0.640625,0.53125,0.625,0.640625,0.625,0.5625,0.640625,0.5625,0.609375,0.59375,0.671875,0.625,0.65625,0.5625,0.609375,0.546875,0.546875,0.546875,0.578125,0.625,0.578125,0.59375,0.515625,0.65625,0.640625,0.59375,0.53125,0.65625,0.53125,0.599479167,2.230364633,0.58229727
HouseTwenty,0.974789916,0.941176471,0.966386555,0.974789916,0.974789916,0.966386555,0.941176471,0.957983193,0.966386555,0.932773109,0.932773109,0.974789916,0.974789916,0.974789916,0.991596639,0.957983193,0.983193277,0.974789916,0.983193277,0.974789916,0.941176471,0.974789916,0.932773109,0.974789916,0.983193277,0.932773109,0.949579832,0.974789916,0.991596639,0.966386555,0.964705882,2.539231555,3.436029983
InlineSkate,0.654545455,0.703636364,0.687272727,0.707272727,0.630909091,0.625454545,0.689090909,0.581818182,0.636363636,0.674545455,0.68,0.694545455,0.654545455,0.650909091,0.630909091,0.656363636,0.656363636,0.672727273,0.625454545,0.603636364,0.68,0.689090909,0.636363636,0.683636364,0.663636364,0.689090909,0.630909091,0.66,0.674545455,0.703636364,0.660909091,7.455123599,17.73218393
